Dataset,,,,,Model,Model Desc,Time Taken,Accuracy,Balanced Accuracy,Precision,Recall,F1,CM
cifar10,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=8, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=64, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",240.5353422164917,0.5057,0.5057,0.5057,0.5057,0.5057,"[[579  26  57  24  45  16  22  23 164  44]
 [ 30 567  12  43  13  31  36  31  57 180]
 [ 84  23 365  87 152  61 137  52  22  17]
 [ 42  14  80 326  60 184 166  40  23  65]
 [ 52   4 133  53 425  50 175  68  26  14]
 [ 31  14  86 163  86 418  80  75  26  21]
 [  9  23  69  73  90  40 645  22   7  22]
 [ 41  18  35  82  99  78  48 503  20  76]
 [102  74  17  29  15  21  17  16 648  61]
 [ 51 150  17  41  14  22  33  35  56 581]]"
cifar10,0,0,0,0,XGBRFClassifier,"XGBRFClassifier(base_score=None, booster=None, callbacks=None,
                colsample_bylevel=None, colsample_bytree=None, device='cuda',
                early_stopping_rounds=None, enable_categorical=False,
                eval_metric=None, feature_types=None, gamma=None,
                grow_policy=None, importance_type=None,
                interaction_constraints=None, learning_rate=0.1, max_bin=None,
                max_cat_threshold=None, max_cat_to_onehot=None,
                max_delta_step=None, max_depth=None, max_leaves=None,
                min_child_weight=None, missing=nan, monotone_constraints=None,
                multi_strategy=None, n_estimators=128, n_jobs=-1,
                num_parallel_tree=None, objective='multi:softprob',
                random_state=None, ...)",171.16612434387207,0.4066,0.4066,0.4066,0.4066,0.4066,"[[490  42  58  22  44  15  26  30 209  64]
 [ 49 435  19  35  51  39  42  33  65 232]
 [102  57 245  51 166  68 184  58  35  34]
 [ 53  47  67 169 106 168 226  54  33  77]
 [ 55  28 114  28 360  47 242  73  28  25]
 [ 26  36  97 119 122 353 113  62  31  41]
 [ 16  37  69  43 154  54 551  24   8  44]
 [ 46  41  45  52 134  87  79 344  42 130]
 [ 98  96  21  25  19  36  28  23 564  90]
 [ 47 148  21  22  27  25  39  31  85 555]]"
cifar10,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=8, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=128, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",446.479914188385,0.5385,0.5385,0.5385,0.5385,0.5385,"[[604  25  57  20  41  15  26  23 148  41]
 [ 28 621   9  38  10  27  25  29  53 160]
 [ 80  20 405  89 144  62 115  54  17  14]
 [ 36  14  78 375  57 172 154  42  21  51]
 [ 51   5 128  50 456  51 156  70  21  12]
 [ 28   9  73 170  76 448  85  64  23  24]
 [  8  16  62  68  89  41 673  20   7  16]
 [ 37  14  32  85  87  78  42 540  16  69]
 [ 98  65  16  27  20  24  15  13 659  63]
 [ 51 141  14  41  14  21  28  30  56 604]]"
cifar10,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=10, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=256, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",1428.1836924552917,0.5613,0.5613,0.5613,0.5613,0.5613,"[[635  23  51  21  29  14  31  18 136  42]
 [ 31 642  12  36  14  20  25  17  56 147]
 [ 69  19 422  96 133  51 120  54  20  16]
 [ 30  17  84 375  54 173 154  41  18  54]
 [ 48   9 118  62 487  36 144  63  21  12]
 [ 21  11  67 184  66 462  77  63  25  24]
 [  4  14  54  61  71  35 720  15  10  16]
 [ 32  20  30  73  91  72  40 558  14  70]
 [ 83  71  15  25  14  16  16  15 695  50]
 [ 46 141   9  44   9  20  29  30  55 617]]"
cifar10,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=10, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=512, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",1865.3387532234192,0.5769,0.5769,0.5769,0.5769,0.5769,"[[647  24  48  21  26  15  29  17 129  44]
 [ 29 667  11  33  11  17  21  17  55 139]
 [ 71  19 438  94 123  49 114  58  19  15]
 [ 28  17  80 401  53 173 139  40  22  47]
 [ 43   7 129  62 485  40 136  68  20  10]
 [ 22  11  65 193  59 478  66  58  24  24]
 [  4  15  54  64  67  30 726  16   9  15]
 [ 30  18  34  70  80  73  36 578  13  68]
 [ 80  72  12  22  13  15  12  15 713  46]
 [ 40 144   8  35   8  24  23  29  53 636]]"
coarse,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=10, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=2, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",32.999507665634155,0.2381,0.2381,0.2381,0.2381,0.2381,"[[109  41   4  18   9  10   9  27  24  21  40  33  26  11   6  16  34  24
   18  20]
 [ 51 120  25  15  17  15  14   6  29  18  23  11  24  23  17  27  23  11
   19  12]
 [  6   9 203  16  61  11  19  27  18  12  11  11  17  19  17   4  11  14
    8   6]
 [ 16  22  15 127  26  26  32  25  15  13  16  23  12  12  26  24  24  12
   21  13]
 [  7  16  62  19 167  12  22  26  21   8   4  17  20  18  19   8  17  13
    9  15]
 [ 18  18  20  47  20  61  35  24  22  22  27  22  25  15  25  22  27  12
   21  17]
 [ 12  21  21  23  30  17 103  21  33  16  13  17  22  12  25  19  37  20
   20  18]
 [ 25  18  31  20  23   3  14 113  25   7  10  36  34  29  13  25  41  11
   11  11]
 [ 22  20  15  10  12  11  17  31  87  11  14  39  48  20  26  23  48  17
   21   8]
 [ 22  22   6  12   2   2  12   6   3 187  84  16   5   6   7   7  16  45
   23  17]
 [ 22  15   8   5   7   7  11   8  17  67 228  12  16   9   5  13  15  21
    6   8]
 [ 18  14   4  16  16   8  15  34  40  22  18  83  30  29  18  17  32  36
   28  22]
 [ 32  16   9  10  12  15  12  22  50  16  14  27  99  22  21  30  50   9
   18  16]
 [ 26  16  29  23  19  16  34  39  38  15  21  18  31  47  23  28  36  14
   12  15]
 [ 17  13  23  35  26  22  31  14  42  19  15  26  26  18  95  13  28  14
   11  12]
 [ 28  37   3  27   7  16  32  24  39  15  14  27  42  33  12  61  35  18
   15  15]
 [ 11  14   9  26  18  11  25  30  42  17  13  41  49  27  28  26  79  16
   11   7]
 [ 14  10  14  12   4  11   9  19  23  38  18  14   8   7   6   8  10 237
   13  25]
 [ 26   9  14  14  12  11  23  16  17  53  31  30  19  13  22  16  26  42
   70  36]
 [ 20  14  12  17  14  14  12  11  18  42  37  26  28   9  10  19  17  29
   46 105]]"
coarse,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=10, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=2, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",31.8396999835968,0.2381,0.2381,0.2381,0.2381,0.2381,"[[109  41   4  18   9  10   9  27  24  21  40  33  26  11   6  16  34  24
   18  20]
 [ 51 120  25  15  17  15  14   6  29  18  23  11  24  23  17  27  23  11
   19  12]
 [  6   9 203  16  61  11  19  27  18  12  11  11  17  19  17   4  11  14
    8   6]
 [ 16  22  15 127  26  26  32  25  15  13  16  23  12  12  26  24  24  12
   21  13]
 [  7  16  62  19 167  12  22  26  21   8   4  17  20  18  19   8  17  13
    9  15]
 [ 18  18  20  47  20  61  35  24  22  22  27  22  25  15  25  22  27  12
   21  17]
 [ 12  21  21  23  30  17 103  21  33  16  13  17  22  12  25  19  37  20
   20  18]
 [ 25  18  31  20  23   3  14 113  25   7  10  36  34  29  13  25  41  11
   11  11]
 [ 22  20  15  10  12  11  17  31  87  11  14  39  48  20  26  23  48  17
   21   8]
 [ 22  22   6  12   2   2  12   6   3 187  84  16   5   6   7   7  16  45
   23  17]
 [ 22  15   8   5   7   7  11   8  17  67 228  12  16   9   5  13  15  21
    6   8]
 [ 18  14   4  16  16   8  15  34  40  22  18  83  30  29  18  17  32  36
   28  22]
 [ 32  16   9  10  12  15  12  22  50  16  14  27  99  22  21  30  50   9
   18  16]
 [ 26  16  29  23  19  16  34  39  38  15  21  18  31  47  23  28  36  14
   12  15]
 [ 17  13  23  35  26  22  31  14  42  19  15  26  26  18  95  13  28  14
   11  12]
 [ 28  37   3  27   7  16  32  24  39  15  14  27  42  33  12  61  35  18
   15  15]
 [ 11  14   9  26  18  11  25  30  42  17  13  41  49  27  28  26  79  16
   11   7]
 [ 14  10  14  12   4  11   9  19  23  38  18  14   8   7   6   8  10 237
   13  25]
 [ 26   9  14  14  12  11  23  16  17  53  31  30  19  13  22  16  26  42
   70  36]
 [ 20  14  12  17  14  14  12  11  18  42  37  26  28   9  10  19  17  29
   46 105]]"
coarse,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=10, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=4, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",68.89496326446533,0.2655,0.2655,0.2655,0.2655,0.2655,"[[123  45   3  15   7   8  11  27  24  18  34  27  29  10   7  22  33  24
   16  17]
 [ 60 121  24  17  18  10   9  13  28  19  23  11  32  17  15  24  21  13
   13  12]
 [  5  12 235  19  53   7  13  28  19  13   9  10  10  15  20   3   8  13
    2   6]
 [ 11  16  14 152  21  34  35  13  21  12  16  21  16  15  26  14  21  11
   19  12]
 [  7  12  64  15 194   6  25  35  26   5   5  16  23   9  14   5   7  12
   11   9]
 [ 23  13  15  51  18  71  31  15  23  12  31  19  28  13  32  20  35  12
   21  17]
 [ 15  15  23  27  28  19 116  17  36  17  18  18  21  11  21  13  27  22
   19  17]
 [ 24  17  32  15  30   9  13 128  22   8   2  41  24  33  17  21  33  10
    9  12]
 [ 23  15  14   8  12  11  16  27 101  13   9  43  50  15  31  16  47  21
   22   6]
 [ 24  18   3   8   3   3  10   5  10 195  82  13   6   8   9   7  16  44
   18  18]
 [ 22  14   6   5   7   9  11   8  13  68 241  10  15   7   4  11  12  21
    6  10]
 [ 21  11   4  15  14   9  17  26  45  26  15  98  33  14  14  20  32  33
   29  24]
 [ 32  20   8   8   9   9  18  19  43   9  10  34 107  22  27  25  58   9
   20  13]
 [ 24  11  29  26  20  12  33  36  37  14  20  23  38  53  22  31  39  12
    8  12]
 [ 15  16  23  31  23  22  31  15  36  12   9  28  22  19 119  10  32  13
   11  13]
 [ 25  36   4  29   8  19  28  26  47  16  12  36  34  28  18  54  36  17
   12  15]
 [ 17   9   7  26  10  13  24  27  49  19  19  33  47  21  28  27  94  12
   11   7]
 [ 13   7  11  12   8   6  10  14  19  38  15  16  12   3   6   9   8 260
   10  23]
 [ 24  11  12  14  18  13  19  14  13  57  25  29  25  10  19  14  19  45
   80  39]
 [ 20  10   7  14  13  16  15  13  14  52  39  25  24   5  17  14  15  22
   52 113]]"
coarse,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=10, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=8, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",582.3718967437744,0.2904,0.2904,0.2904,0.2904,0.2904,"[[142  42   1  16   1   8   8  25  23  16  29  26  32  12   8  22  29  22
   16  22]
 [ 57 136  26  15  16  11  18  12  22  16  18  13  32  17  17  19  22  12
   11  10]
 [  4   7 245  20  53   9  13  26  19  13   3   9   7  19  27   5   7   6
    3   5]
 [ 19  15  13 155  19  30  39  12  24  10  14  19  21  21  25  16  16  10
   15   7]
 [  5   8  62  19 200   9  20  29  24   3   6  13  20  17  13   6  12  13
   12   9]
 [ 24  10  14  51  14  92  40  20  16   9  30  20  21  15  23  25  31  13
   20  12]
 [  7  11  18  25  26  19 139  16  33  18  21  17  16  16  18  18  32  14
   19  17]
 [ 22  15  38  13  23  11  11 144  24   8   1  33  27  30  10  21  41  13
    5  10]
 [ 19  14  11  10  11  15  14  19 102  10   9  49  62  20  27  23  54  14
   13   4]
 [ 19  14   2   8   1   1  12   1   9 213  81  15   7   5   8   9  16  41
   11  27]
 [ 24  13   6   4   9  12   5   8  13  57 252   6  13   6   3   9  24  20
   11   5]
 [ 14  11   3  16  10   7  16  29  40  23  13 107  41  12  13  21  38  35
   32  19]
 [ 23  15   6  10  10   7  15  22  44  10   8  29 130  27  21  25  60   6
   18  14]
 [ 24  19  32  19  16  13  23  42  32   7  20  18  39  68  25  38  38  10
    8   9]
 [ 11  10  18  37  15  16  32  15  44  18   9  19  19  20 131  14  37  14
   11  10]
 [ 27  37   4  23  10  14  23  30  50  13  15  30  39  24  11  62  47  15
   15  11]
 [ 14   5   8  27   9  11  25  26  52  13  16  30  55  27  30  27  99  10
    8   8]
 [ 11   7  11   7   9   9   7  15  19  36  13  16   8   6   5   5  11 277
    9  19]
 [ 24  13   9   8  12  13  21   9  11  62  21  32  28  16  15  17  18  41
   89  41]
 [ 21  11   4  14  12  13  12  11  19  47  36  27  33   9   6  17   8  25
   54 121]]"
coarse,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=10, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=16, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",2381.417294025421,0.3202,0.3202,0.3202,0.3202,0.3202,"[[146  48   0  12   2  11  10  20  22  17  27  31  31  13   3  22  38  19
   13  15]
 [ 45 154  24  13  18  12  15   8  28  22  21   8  26  22  17  18  23  11
    9   6]
 [  4  14 263  20  42   8  14  23  25   8   8   8   4  14  15   4  12   7
    3   4]
 [ 11  18  14 169  18  29  28  16  20  12  13  17  19  18  26  18  24  10
   11   9]
 [  7  12  63  17 209   9  19  25  31   4   3  14   9  16  10   8  14  15
    6   9]
 [ 18  13  13  48  17 111  29  14  20  12  30  11  24  20  24  21  35   6
   22  12]
 [  7   9  18  19  27  17 158  11  40  13  19  17  18  22  10  16  32  12
   20  15]
 [ 14  12  23  11  16   7  15 162  33   9   7  38  31  27  13  25  36   8
    7   6]
 [ 22   6   5  12   8   7  16  23 121  10  13  45  64  22  19  22  62   9
    9   5]
 [ 20   9   4   8   3   4  10   4   7 235  81   6   6   7   5  10  12  36
   16  17]
 [ 19  17   6   7   7   5   9   8   9  58 265   9   7   3   3  17  23  16
    8   4]
 [  7   6   4  10   6   8   8  32  43  23  13 123  45  13  12  21  50  34
   25  17]
 [ 24  12  10   7   1   4  13  13  60   8   6  49 147  19  13  21  59   6
   15  13]
 [ 33  19  27  15  21  11  27  42  40   8  17  18  33  66  25  28  45   8
    8   9]
 [  8  11  18  30  14  20  40  10  42  14   7  13  23  21 148  15  34  10
   13   9]
 [ 33  36   1  15   7  12  22  23  55  11  15  21  53  19   9  84  48  13
   15   8]
 [ 15   6   6  24   8   9  23  29  55  10  20  29  56  23  23  29 116   6
    7   6]
 [ 11   4   8   6   8   6  11  17  15  31  16  11  10   4   4   9  13 292
   14  10]
 [ 20   9  12  13   9   8  15   8  11  69  19  21  41  10  13  21  19  36
  108  38]
 [ 11   7   5  14  10   9  10  13  17  44  39  22  31  17   8  17  14  26
   61 125]]"
fine,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=2, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",14.907358169555664,0.1294,0.1294,0.1294,0.1294,0.1294,"[[28  3  0 ...  0  1  0]
 [ 1 19  1 ...  1  2  0]
 [ 0  3  7 ...  3  3  1]
 ...
 [ 0  2  2 ... 13  1  0]
 [ 0  1  2 ...  3  2  1]
 [ 0  1  1 ...  0  0  6]]"
fine,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=4, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",31.079911470413208,0.154,0.154,0.154,0.154,0.154,"[[30  2  1 ...  0  1  0]
 [ 0 25  0 ...  2  2  0]
 [ 1  3  9 ...  2  3  1]
 ...
 [ 0  1  4 ... 13  1  0]
 [ 1  0  3 ...  2  4  2]
 [ 0  1  2 ...  1  0 13]]"
fine,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=8, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",66.44575190544128,0.1739,0.1739,0.1739,0.1739,0.1739,"[[33  4  1 ...  0  2  0]
 [ 0 29  0 ...  3  1  0]
 [ 0  3 13 ...  5  2  1]
 ...
 [ 0  2  3 ... 21  1  0]
 [ 0  0  5 ...  4  5  1]
 [ 0  1  2 ...  0  0 19]]"
fine,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=16, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",127.9477424621582,0.195,0.195,0.195,0.195,0.195,"[[38  2  1 ...  0  1  0]
 [ 3 27  1 ...  4  1  0]
 [ 1  2 12 ...  3  2  2]
 ...
 [ 0  2  2 ... 22  1  0]
 [ 1  1  4 ...  1  7  1]
 [ 0  0  2 ...  1  1 20]]"
fine,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=32, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",259.84711360931396,0.2152,0.2152,0.2152,0.2152,0.2152,"[[43  3  1 ...  0  1  0]
 [ 3 30  0 ...  3  1  1]
 [ 1  1 16 ...  1  3  2]
 ...
 [ 0  1  3 ... 26  1  1]
 [ 0  1  6 ...  2  5  1]
 [ 0  0  2 ...  1  0 24]]"
fine,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=64, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",508.2498404979706,0.2393,0.2393,0.2393,0.2393,0.2393,"[[47  3  1 ...  0  1  0]
 [ 2 36  0 ...  1  1  1]
 [ 1  1 17 ...  3  5  2]
 ...
 [ 0  1  4 ... 28  2  1]
 [ 0  2  6 ...  1  4  0]
 [ 0  1  1 ...  0  0 27]]"
fine,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=128, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",998.1429312229156,0.2631,0.2631,0.2631,0.2631,0.2631,"[[50  3  2 ...  0  0  0]
 [ 1 37  0 ...  1  1  1]
 [ 2  1 18 ...  2  5  2]
 ...
 [ 0  1  1 ... 31  2  1]
 [ 1  1  4 ...  3  6  0]
 [ 0  0  0 ...  1  0 24]]"
fine,0,0,0,0,XGBClassifier,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device='cuda', early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=256, n_jobs=-1,
              num_parallel_tree=None, objective='multi:softprob', ...)",2009.7715997695923,0.2843,0.2843,0.2843,0.2843,0.2843,"[[57  1  2 ...  0  0  0]
 [ 1 43  1 ...  1  0  1]
 [ 1  1 20 ...  4  4  2]
 ...
 [ 0  1  1 ... 28  1  1]
 [ 1  0  6 ...  2 13  2]
 [ 0  0  0 ...  1  0 29]]"
cifar10,0,0,0,0,EasyNeuralNet,"EasyNeuralNet Layers:(2, 2),Dropout:0)",169.0609040260315,0.2733,0.2733,0.2733,0.2733,0.2733,"[[453  42  23  26  25   2  46 129 187  67]
 [ 57 415  19  65  17   6 113  45 103 160]
 [126  30  25  65 148  10 293 259  27  17]
 [ 42  67  41 102 134  18 384 168  15  29]
 [ 68  19  14  52 195  11 360 251  20  10]
 [ 55  42  41  87 171  17 288 259  14  26]
 [ 14  42  11  60 113  12 679  64   2   3]
 [100  34  43  80 151  18 153 358  24  39]
 [309 102  14  41   8   7  29  66 296 128]
 [ 83 344  15  61  15   1 100  37 151 193]]"
cifar10,0,0,0,0,EasyNeuralNet,"EasyNeuralNet Layers:(4, 4),Dropout:0)",115.60716009140015,0.3468,0.3468,0.3468,0.3468,0.3468,"[[457  44  56  19  31  31  51  87 176  48]
 [ 35 484  28  35  21  23  86  61  85 142]
 [114  50  75  20 180  66 343 109  33  10]
 [ 23  83  56  70 115 224 312  67  37  13]
 [ 60  19  39  24 244  61 400 129  12  12]
 [ 24  46  40  47 115 341 252  91  34  10]
 [  5  41  31  26  96 107 638  38  11   7]
 [ 54  44  27  23 138  93  89 467  15  50]
 [242 114  36  25   9  49  38  24 413  50]
 [ 81 319  13  23  12  23  72  89  89 279]]"
